100,26.1889,14.1577
200,35.5945,21.3487
300,37.5635,20.3022
400,38.1608,18.9396
500,37.1253,18.8852
600,40.3524,21.1126
700,36.6320,16.0877
800,46.9085,28.8475
900,37.9711,19.2234
1000,45.7335,23.8455
1100,43.7676,19.8006
1200,52.7292,25.3508
1300,48.4104,24.1497
1400,46.3309,21.9794
1500,40.3930,22.7068
1600,48.0387,22.3836
1700,44.8126,19.1650
1800,46.4490,23.2706
1900,53.7910,30.3441
2000,51.2667,27.6805
2100,51.9878,24.4178
2200,57.7715,35.1242
2300,53.2326,23.4988
2400,47.0822,24.2720
2500,47.7407,19.9536
2600,53.7737,30.6393
2700,58.3031,27.6188
2800,56.8755,32.5499
2900,52.8701,25.1021
3000,50.5658,25.1837
3100,56.1508,28.5849
3200,60.7401,31.0421
3300,51.5303,23.6566
3400,59.0698,28.4015
3500,57.6809,29.2684
3600,64.8633,34.2034
3700,55.2740,27.3511
3800,49.1285,17.6543
3900,62.3371,37.4728
4000,56.2246,33.3659
4100,58.1668,26.4476
4200,64.7352,26.8023
4300,66.4072,28.0335
4400,71.2566,29.8275
4500,76.4377,33.7668
4600,71.3758,32.7832
4700,74.6742,33.8384
4800,71.1758,31.9690
4900,73.7226,31.8102
5000,86.5932,33.6256
5100,99.9576,33.6822
5200,108.8706,36.8414
5300,115.1072,36.4852
5400,126.3309,36.7675
5500,121.1991,40.2027
5600,121.9322,32.4367
5700,132.2877,33.2205
5800,118.7128,29.8773
5900,131.3232,39.8306
6000,135.7905,32.1138
6100,133.5707,30.5462
6200,134.5221,36.1397
6300,138.2847,33.6446
6400,137.0807,36.1600
6500,134.7702,38.6422
6600,143.5149,35.0698
